Hybridization REF	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0675-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0678-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0680-11A-32R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-0681-11A-41R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13	TCGA-06-AABW-11A-31R-A36C-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1251	98	25.024597	N	61	11.958669	N	137	25.013890	N	52	15.734484	N	71	17.891977	N
hsa-mir-1252	1	0.255353	N	2	0.392088	N	2	0.365166	N	0	0.000000	N	0	0.000000	N
hsa-mir-1253	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1254	2	0.510706	N	1	0.196044	N	1	0.182583	N	1	0.302586	N	6	1.511998	N
hsa-mir-1255a	0	0.000000	N	2	0.392088	N	3	0.547749	N	2	0.605172	N	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1256	0	0.000000	N	1	0.196044	N	1	0.182583	N	1	0.302586	N	1	0.252000	N
hsa-mir-1257	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1258	57	14.555123	N	69	13.527019	N	82	14.971817	N	55	16.642243	N	19	4.787994	N
hsa-mir-125a	5739	1465.471036	N	7589	1487.776084	N	8636	1576.787986	N	3570	1080.232858	N	6018	1516.534077	N
hsa-mir-125b-1	17973	4589.459997	N	25072	4915.209114	N	28035	5118.718296	N	13048	3948.145192	N	21015	5295.773285	N
hsa-mir-125b-2	521	133.038928	N	967	189.574315	N	1076	196.459457	N	408	123.455184	N	511	128.771837	N
hsa-mir-126	10980	2803.776263	N	11459	2246.465429	N	13112	2394.030116	N	8704	2633.710588	N	5560	1401.118223	N
hsa-mir-1260	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1260b	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1261	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1262	6	1.532118	N	7	1.372306	N	6	1.095499	N	3	0.907759	N	9	2.267997	N
hsa-mir-1263	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1264	31	7.915944	N	21	4.116919	N	27	4.929745	N	11	3.328449	N	9	2.267997	N
hsa-mir-1265	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1266	16	4.085648	N	12	2.352525	N	7	1.278082	N	13	3.933621	N	24	6.047992	N
hsa-mir-1267	0	0.000000	N	1	0.196044	N	1	0.182583	N	2	0.605172	N	0	0.000000	N
hsa-mir-1268	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1269	9	2.298177	N	5	0.980219	N	39	7.120742	N	13	3.933621	N	4	1.007999	N
hsa-mir-127	32561	8314.549990	N	42905	8411.257460	N	48307	8820.043685	N	25998	7866.636933	N	16050	4044.594871	N
hsa-mir-1270-1	0	0.000000	N	6	1.176263	N	15	2.738747	N	4	1.210345	N	44	11.087986	N
hsa-mir-1270-2	0	0.000000	N	5	0.980219	N	15	2.738747	N	7	2.118104	N	35	8.819989	N
hsa-mir-1271	42	10.724827	N	40	7.841750	N	45	8.216241	N	31	9.380173	N	87	21.923972	N
hsa-mir-1272	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273c	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1273d	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1274a	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1274b	4	1.021412	N	8	1.568350	N	5	0.912916	N	4	1.210345	N	7	1.763998	N
hsa-mir-1275	0	0.000000	N	1	0.196044	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-1276	2	0.510706	N	4	0.784175	N	5	0.912916	N	0	0.000000	N	4	1.007999	N
hsa-mir-1277	6	1.532118	N	12	2.352525	N	14	2.556164	N	3	0.907759	N	15	3.779995	N
hsa-mir-1278	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1279	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-128-1	24615	6285.514819	N	48637	9534.980284	N	51395	9383.860417	N	21466	6495.316116	N	8630	2174.757242	N
hsa-mir-128-2	19057	4866.262681	N	36302	7116.780522	N	39069	7133.340649	N	15933	4821.106479	N	6555	1651.857905	N
hsa-mir-1280	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1281	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1282	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1283-1	1	0.255353	N	1	0.196044	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N	1	0.196044	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-1284	1	0.255353	N	0	0.000000	N	4	0.730333	N	1	0.302586	N	1	0.252000	N
hsa-mir-1285-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1286	1	0.255353	N	1	0.196044	N	5	0.912916	N	1	0.302586	N	1	0.252000	N
hsa-mir-1287	82	20.938948	N	118	23.133164	N	116	21.179644	N	79	23.904313	N	619	155.987802	N
hsa-mir-1288	1	0.255353	N	4	0.784175	N	4	0.730333	N	1	0.302586	N	8	2.015997	N
hsa-mir-1289-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-129-1	12924	3300.182552	N	11328	2220.783697	N	14032	2562.006603	N	5480	1658.172567	N	3748	944.494802	N
hsa-mir-129-2	14501	3702.874279	N	13142	2576.407075	N	15962	2914.392061	N	6268	1896.610520	N	4180	1053.358664	N
hsa-mir-1290	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1291	2	0.510706	N	1	0.196044	N	2	0.365166	N	3	0.907759	N	8	2.015997	N
hsa-mir-1292	4	1.021412	N	7	1.372306	N	8	1.460665	N	5	1.512931	N	12	3.023996	N
hsa-mir-1293	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-1294	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	1	0.252000	N
hsa-mir-1295	1	0.255353	N	2	0.392088	N	2	0.365166	N	2	0.605172	N	6	1.511998	N
hsa-mir-1296	575	146.827992	N	719	140.955462	N	564	102.976890	N	543	164.304326	N	205	51.659934	N
hsa-mir-1297	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1298	578	147.594051	N	641	125.664049	N	686	125.252033	N	297	89.868112	N	130	32.759958	N
hsa-mir-1299	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1301	244	62.306139	N	301	59.009171	N	388	70.842258	N	224	67.779317	N	218	54.935930	N
hsa-mir-1302-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-3	1	0.255353	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1303	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1304	0	0.000000	N	7	1.372306	N	2	0.365166	N	0	0.000000	N	0	0.000000	N
hsa-mir-1305	1	0.255353	N	4	0.784175	N	0	0.000000	N	0	0.000000	N	3	0.755999	N
hsa-mir-1306	86	21.960361	N	133	26.073820	N	105	19.171230	N	84	25.417244	N	143	36.035954	N
hsa-mir-1307	7436	1898.805127	N	8662	1698.131036	N	10790	1970.072067	N	6922	2094.501917	N	7874	1984.245484	N
hsa-mir-130a	289	73.797025	N	364	71.359928	N	488	89.100572	N	228	68.989662	N	152	38.303951	N
hsa-mir-130b	69	17.619359	N	106	20.780638	N	93	16.980232	N	74	22.391381	N	97	24.443969	N
hsa-mir-132	7841	2002.223103	N	15292	2997.901156	N	12814	2339.620340	N	5611	1697.811364	N	3726	938.950809	N
hsa-mir-1321	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1322	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1323	0	0.000000	N	0	0.000000	N	1	0.182583	N	0	0.000000	N	0	0.000000	N
hsa-mir-1324	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-133a-1	127	32.429835	Y	144	28.230301	Y	181	33.047548	Y	141	42.664659	Y	34	8.567989	Y
hsa-mir-133a-2	1	0.255353	Y	0	0.000000	N	6	1.095499	Y	4	1.210345	Y	0	0.000000	N
hsa-mir-133b	6	1.532118	Y	8	1.568350	Y	22	4.016829	Y	15	4.538794	Y	1	0.252000	Y
hsa-mir-134	8343	2130.410324	N	8799	1724.989031	N	9255	1689.806949	N	6114	1850.012240	N	3680	927.358824	N
hsa-mir-135a-1	103	26.301362	N	133	26.073820	N	132	24.100974	N	82	24.812071	N	38	9.575988	N
hsa-mir-135a-2	5	1.276765	N	16	3.136700	N	17	3.103913	N	4	1.210345	N	3	0.755999	N
hsa-mir-135b	5	1.276765	N	10	1.960438	N	6	1.095499	N	7	2.118104	N	1	0.252000	N
hsa-mir-136	1985	506.875763	N	2388	468.152495	N	2952	538.985426	N	1323	400.321589	N	872	219.743721	N
hsa-mir-137	3442	878.925127	N	5412	1060.988821	N	5249	958.378895	N	2633	796.709556	N	715	180.179772	N
hsa-mir-138-1	771	196.877186	N	1093	214.275828	N	944	172.358483	N	562	170.053464	N	288	72.575908	N
hsa-mir-138-2	582	148.615463	N	816	159.971707	N	755	137.850270	N	462	139.794840	N	199	50.147936	N
hsa-mir-139	21953	5605.765054	N	23749	4655.843221	N	28571	5216.582858	N	13098	3963.274504	N	6963	1754.673775	N
hsa-mir-140	9524	2431.982252	N	18331	3593.678138	N	17925	3272.802763	N	10194	3084.564078	N	13308	3353.611748	N
hsa-mir-141	9	2.298177	N	15	2.940656	N	16	2.921330	N	10	3.025862	N	9	2.267997	N
